word,meaning,category
contrast,대조,noun
controversial,논쟁의 여지가 있는,adjective
conventional,전통적인,adjective
converge,수렴하다,verb
convince,설득하다,verb
copious,풍부한,adjective
corroborate,확증하다,verb
counteract,중화하다,verb
counterpart,상대,noun
criteria,기준,noun
crucial,결정적인,adjective
crude,가공하지 않은,adjective
culminate,최고조에 달하다,verb
cultivate,기르다,verb
cumbersome,성가신,adjective
curtail,줄이다,verb
dearth,부족,noun
debate,토론,noun
decipher,해독하다,verb
decline,감소,noun
decorum,예의,noun
decree,명령,noun
deference,존중,noun
deficient,부족한,adjective
definite,명확한,adjective
delegate,위임하다,verb
deliberate,신중한,adjective
demise,죽음,noun
demolish,파괴하다,verb
demonstrate,증명하다,verb
denounce,비난하다,verb
depict,묘사하다,verb
deplete,고갈시키다,verb
deplore,한탄하다,verb
depreciate,가치를 떨어뜨리다,verb
derive,파생하다,verb
desolate,황량한,adjective
despise,경멸하다,verb
detach,분리하다,verb
deter,단념시키다,verb
detrimental,해로운,adjective
deviate,벗어나다,verb
devise,고안하다,verb
diatribe,통렬한 비난,noun
digress,주제에서 벗어나다,verb
dilemma,딜레마,noun
diminish,감소하다,verb
discrepancy,불일치,noun
discrete,개별적인,adjective
discriminate,차별하다,verb
disdain,경멸,noun
dismantle,분해하다,verb
disparage,비하하다,verb
disparate,상이한,adjective
dispatch,보내다,verb
disperse,분산시키다,verb
dispute,논쟁,noun
disrupt,방해하다,verb
disseminate,퍼뜨리다,verb
dissent,반대,noun
distort,왜곡하다,verb
diverse,다양한,adjective
divert,돌리다,verb
divulge,누설하다,verb
dogmatic,독단적인,adjective
dominant,지배적인,adjective
dormant,휴면 상태의,adjective
dubious,의심스러운,adjective
eccentric,별난,adjective
eclectic,다양한 출처에서 고른,adjective
eclipse,가리다,verb
economical,경제적인,adjective
edify,교화하다,verb
efficacy,효능,noun
elaborate,정교한,adjective
elicit,끌어내다,verb
elusive,잘 피하는,adjective
eminent,저명한,adjective
emit,방출하다,verb
emphasize,강조하다,verb
empirical,경험적인,adjective
encompass,포함하다,verb
endure,견디다,verb
enhance,강화하다,verb
enigma,수수께끼,noun
enumerate,열거하다,verb
ephemeral,덧없는,adjective
equitable,공평한,adjective
equivocal,애매한,adjective
eradicate,근절하다,verb
erratic,변덕스러운,adjective
erudite,박식한,adjective
escalate,확대하다,verb
esoteric,난해한,adjective
espouse,지지하다,verb
essential,필수적인,adjective
esteem,존경,noun
eulogy,찬사,noun
euphemism,완곡어법,noun
exacerbate,악화시키다,verb
exalt,칭찬하다,verb
exasperate,화나게 하다,verb
excerpt,발췌하다,verb
exclude,제외하다,verb
exclusive,배타적인,adjective
exemplary,모범적인,adjective
exhaustive,철저한,adjective
expedite,촉진하다,verb
explicit,명시적인,adjective
exploit,이용하다,verb
extol,칭찬하다,verb
extraneous,관계없는,adjective
fabricate,조작하다,verb
facilitate,촉진하다,verb
fallacious,그릇된,adjective
falter,망설이다,verb
fastidious,까다로운,adjective
feasible,실행 가능한,adjective
fervent,열렬한,adjective
fickle,변덕스러운,adjective
flourish,번영하다,verb
fluctuate,변동하다,verb
forbear,참다,verb
forlorn,쓸쓸한,adjective
formidable,위협적인,adjective
fortuitous,우연한,adjective
foster,촉진하다,verb
frugal,검소한,adjective
futile,헛된,adjective
garrulous,수다스러운,adjective
gratuitous,무료의,adjective
gregarious,사교적인,adjective
hackneyed,진부한,adjective
haphazard,무계획적인,adjective
harangue,열변,noun
harbinger,전조,noun
harsh,가혹한,adjective
haughty,오만한,adjective
hedonist,쾌락주의자,noun
hypothesis,가설,noun
hypothetical,가설의,adjective
iconoclast,전통 타파자,noun
idealistic,이상주의적인,adjective
ignominious,수치스러운,adjective
illuminate,밝히다,verb
illusory,환상적인,adjective
illustrious,저명한,adjective
imminent,임박한,adjective
immutable,불변의,adjective
impartial,공정한,adjective
impede,방해하다,verb
imperative,필수적인,adjective
impervious,둔감한,adjective
impetuous,성급한,adjective
impute,전가하다,verb
inadvertently,무심코,adverb
inchoate,초기의,adjective
incongruous,어울리지 않는,adjective
inconsequential,중요하지 않은,adjective
incorporate,통합하다,verb
indeterminate,불확정적인,adjective
indifferent,무관심한,adjective
indolent,게으른,adjective
infer,추론하다,verb
ingenious,독창적인,adjective
inherent,내재된,adjective
innocuous,무해한,adjective
innovative,혁신적인,adjective
insidious,교활한,adjective
insipid,재미없는,adjective
insular,폐쇄적인,adjective
intrepid,대담한,adjective
intuitive,직관적인,adjective
inundate,몰아치다,verb
invective,욕설,noun
inveterate,고질적인,adjective
invigorate,활기를 주다,verb
irascible,성마른,adjective
irresolute,결단력 없는,adjective
itinerant,돌아다니는,adjective
jubilation,환호,noun
laconic,간결한,adjective
lament,슬퍼하다,verb
laudable,칭찬할 만한,adjective
lavish,사치스러운,adjective
lethargic,무기력한,adjective
leverage,이용하다,verb
levity,경솔함,noun
logical,논리적인,adjective
loquacious,수다스러운,adjective
lucid,명료한,adjective
luminous,빛나는,adjective
magnanimous,관대한,adjective
malicious,악의적인,adjective
marred,훼손된,adjective
martial,군사의,adjective
mundane,평범한,adjective
munificent,아주 관대한,adjective
mutable,변하기 쉬운,adjective
negligent,태만한,adjective
nonchalant,무관심한,adjective
novel,새로운,adjective
obdurate,완고한,adjective
oblivious,무심한,adjective
obscure,모호한,adjective
obstinate,고집 센,adjective
obstreperous,난폭한,adjective
obtuse,둔한,adjective
officious,참견 잘하는,adjective
ominous,불길한,adjective
opaque,불투명한,adjective
opportunist,기회주의자,noun
optimist,낙관주의자,noun
orthodox,정통의,adjective
ostentatious,과시적인,adjective
parched,말라붙은,adjective
parsimonious,인색한,adjective
pathological,병리학적인,adjective
paucity,부족,noun
pedantic,현학적인,adjective
penchant,선호,noun
penurious,가난한,adjective
perfidious,불충한,adjective
perfunctory,대충 하는,adjective
permeate,스며들다,verb
pernicious,유해한,adjective
perspicacious,통찰력 있는,adjective
pertinent,관련된,adjective
pervasive,퍼지는,adjective
philanthropic,인도주의적인,adjective
phlegmatic,냉정한,adjective
pithy,간결한,adjective
platitude,진부한 말,noun
plethora,과다,noun
pragmatic,실용적인,adjective
precarious,불안정한,adjective
precipitate,촉발하다,verb
preclude,방지하다,verb
precocious,조숙한,adjective
presumptuous,주제 넘는,adjective
pretentious,잘난 체하는,adjective
prevalent,널리 퍼진,adjective
pristine,원시적인,adjective
proclivity,성향,noun
prodigal,낭비하는,adjective
profound,심오한,adjective
prolific,다작의,adjective
propensity,성향,noun
propitiate,달래다,verb
propriety,적절성,noun
prosaic,평범한,adjective
prosperous,번영하는,adjective
prudent,신중한,adjective
querulous,불평 많은,adjective
rancorous,원한을 품은,adjective
recalcitrant,고집 센,adjective
reclusive,은둔적인,adjective
reconcile,화해시키다,verb
rectify,시정하다,verb
redoubtable,존경할 만한,adjective
refute,반박하다,verb
relegate,강등시키다,verb
reproach,비난,noun
reprobate,부도덕한 사람,noun
repudiate,거부하다,verb
rescind,취소하다,verb
resolution,결의,noun
resolve,해결하다,verb
respite,휴식,noun
reticent,과묵한,adjective
reverent,경건한,adjective
sagacious,현명한,adjective
salient,두드러진,adjective
sanctimonious,위선적인,adjective
sanguine,낙관적인,adjective
scanty,부족한,adjective
scrupulous,양심적인,adjective
scrutinize,면밀히 조사하다,verb
servile,굴종적인,adjective
skeptical,회의적인,adjective
solicitous,걱정하는,adjective
soporific,졸리게 하는,adjective
sporadic,산발적인,adjective
spurious,가짜의,adjective
stagnant,정체된,adjective
staid,침착한,adjective
stingy,인색한,adjective
stolid,냉정한,adjective
striated,줄무늬가 있는,adjective
strident,날카로운,adjective
stupendous,엄청난,adjective
submissive,순종적인,adjective
substantiate,입증하다,verb
subtle,미묘한,adjective
superficial,피상적인,adjective
superfluous,불필요한,adjective
surfeit,과다,noun
surreptitious,비밀의,adjective
sycophant,아첨꾼,noun
tacit,암묵적인,adjective
taciturn,과묵한,adjective
tangential,접선의,adjective
tantamount,동등한,adjective
tedious,지루한,adjective
temerity,대담,noun
temperate,절제된,adjective
tenuous,미약한,adjective
timorous,소심한,adjective
torpid,무기력한,adjective
tortuous,구불구불한,adjective
tractable,다루기 쉬운,adjective
tranquil,고요한,adjective
transient,일시적인,adjective
transparent,투명한,adjective
treacherous,배신적인,adjective
tremulous,떨리는,adjective
trite,진부한,adjective
truculent,호전적인,adjective
ubiquitous,어디에나 있는,adjective
umbrage,불쾌감,noun
uncanny,이상한,adjective
unfathomable,헤아릴 수 없는,adjective
unprecedented,전례 없는,adjective
unscrupulous,부도덕한,adjective
unwieldy,다루기 힘든,adjective
vacillate,주저하다,verb
venerate,숭배하다,verb
veracity,진실성,noun
verbose,장황한,adjective
viable,실행 가능한,adjective
vigilant,경계하는,adjective
vindicate,옹호하다,verb
volatile,휘발성의,adjective
voluminous,방대한,adjective
wary,조심하는,adjective
whimsical,변덕스러운,adjective
zealous,열성적인,adjective
Not only A but also B,A뿐만 아니라 B도,phrase
As well as,A뿐만 아니라,phrase
In addition to,A에 더하여,phrase
On the other hand,다른 한편으로는,phrase
On the contrary,반대로,phrase
In contrast,대조적으로,phrase
As a result,결과적으로,phrase
Therefore,그러므로,phrase
Thus,그러므로,phrase
Hence,그러므로,phrase
Consequently,결과적으로,phrase
For this reason,이러한 이유로,phrase
Due to the fact that,~라는 사실 때문에,phrase
Because of,~때문에,phrase
Owing to,~때문에,phrase
Thanks to,~덕분에,phrase
In spite of the fact that,~라는 사실에도 불구하고,phrase
Despite the fact that,~라는 사실에도 불구하고,phrase
Regardless of,~에 상관없이,phrase
In terms of,~의 관점에서,phrase
With regard to,~에 관하여,phrase
In relation to,~와 관련하여,phrase
In case of,~의 경우에,phrase
In the event of,~의 경우에,phrase
Provided that,~라는 조건 하에,phrase
As long as,~하는 한,phrase
Unless,~하지 않는 한,phrase
Even if,~일지라도,phrase
Even though,~일지라도,phrase
No matter how,아무리 ~해도,phrase
No matter what,무엇이 ~해도,phrase
No matter who,누가 ~해도,phrase
No matter where,어디서 ~해도,phrase
No matter when,언제 ~해도,phrase
As if,~인 것처럼,phrase
As though,~인 것처럼,phrase
So that,~하기 위해,phrase
In order that,~하기 위해,phrase
For fear that,~할까 봐,phrase
In case,~할 경우를 대비하여,phrase
By the time,~할 때쯤에는,phrase
As soon as,~하자마자,phrase
The moment,~하는 순간,phrase
The instant,~하는 순간,phrase
Hardly when,~하자마자,phrase
Scarcely when,~하자마자,phrase
No sooner than,~하자마자,phrase
Not until,~까지는 ~하지 않다,phrase
Only after,~한 후에야,phrase
