word,meaning,category  
validate,검증하다,verb  
standardize,표준화하다,verb  
interpret,해석하다,verb  
debate,토론하다,verb  
legislate,입법하다,verb  
negotiate,협상하다,verb  
mediate,중재하다,verb  
advocate,옹호하다,verb  
statistics,통계,noun  
probability,확률,noun  
sample,표본,noun  
variance,분산,noun  
median,중앙값,noun  
correlation,상관관계,noun  
legislation,입법,noun  
negotiation,협상,noun  
advocacy,옹호,noun  
mediation,중재,noun  
statistical,통계적인,adjective  
probabilistic,확률적인,adjective  
random,무작위의,adjective  
significant,유의미한,adjective  
insignificant,무의미한,adjective  
legislative,입법의,adjective  
negotiable,협상 가능한,adjective  
mediatory,중재의,adjective  
advocative,옹호적인,adjective  
standardized,표준화된,adjective  
statistically,통계적으로,adverb  
randomly,무작위로,adverb  
significantly,유의미하게,adverb  
insignificantly,무의미하게,adverb  
legislatively,입법적으로,adverb  
negotiably,협상 가능하게,adverb  
mediatively,중재적으로,adverb  
advocatively,옹호적으로,adverb  
quantifiably,정량화 가능하게,adverb  
in the context of globalization,세계화의 맥락에서,phrase  
by virtue of legislation,입법 덕분에,phrase  
for the sake of fairness,공정성을 위해,phrase  
in the event of a conflict,갈등 발생 시,phrase  
with respect to cultural differences,문화적 차이에 관하여,phrase  
critique,비평하다,verb  
replicate,복제하다,verb  
deviate,일탈하다,verb  
harmonize,조화시키다,verb  
migrate,이주하다,verb  
navigate,항해하다,verb  
conceptualize,개념화하다,verb  
fluctuate,변동하다,verb  
legitimize,합법화하다,verb  
initiate,시작하다,verb  
philosophy,철학,noun  
literature,문학,noun  
anthropology,인류학,noun  
sociology,사회학,noun  
psychology,심리학,noun  
linguistics,언어학,noun  
archaeology,고고학,noun  
theology,신학,noun  
aesthetics,미학,noun  
epistemology,인식론,noun  
philosophical,철학적인,adjective  
literary,문학적인,adjective  
anthropological,인류학적인,adjective  
sociological,사회학적인,adjective  
psychological,심리학적인,adjective  
linguistic,언어학적인,adjective  
archaeological,고고학적인,adjective  
theological,신학적인,adjective  
aesthetic,미학적인,adjective  
epistemological,인식론적인,adjective  
philosophically,철학적으로,adverb  
literarily,문학적으로,adverb  
anthropologically,인류학적으로,adverb  
sociologically,사회학적으로,adverb  
psychologically,심리학적으로,adverb  
linguistically,언어학적으로,adverb  
archaeologically,고고학적으로,adverb  
theologically,신학적으로,adverb  
aesthetically,미학적으로,adverb  
epistemologically,인식론적으로,adverb  
in the pursuit of knowledge,지식을 추구하며,phrase  
by means of critical analysis,비판적 분석을 통해,phrase  
for the advancement of society,사회 발전을 위해,phrase  
in the absence of evidence,증거가 없을 때,phrase  
with regard to ethical standards,윤리적 기준에 관하여,phrase  
invest,투자하다,verb  
accumulate,축적하다,verb  
depreciate,감가상각하다,verb  
fluctuate,변동하다,verb  
monopolize,독점하다,verb  
subsidize,보조금을 주다,verb  
inflate,팽창시키다,verb  
deflate,수축시키다,verb  
liquidate,청산하다,verb  
audit,감사하다,verb  
market,시장,noun  
capital,자본,noun  
revenue,수익,noun  
expenditure,지출,noun  
inflation,인플레이션,noun  
deflation,디플레이션,noun  
monopoly,독점,noun  
subsidy,보조금,noun  
asset,자산,noun  
liability,부채,noun  
profitable,수익성 있는,adjective  
volatile,변동성이 큰,adjective  
liquid,유동적인,adjective  
illiquid,비유동적인,adjective  
speculative,투기적인,adjective  
regulated,규제된,adjective  
competitive,경쟁적인,adjective  
monopolistic,독점적인,adjective  
fiscal,재정의,adjective  
monetary,통화의,adjective  
profitably,수익성 있게,adverb  
volatilely,변동성 있게,adverb  
liquidly,유동적으로,adverb  
speculatively,투기적으로,adverb  
competitively,경쟁적으로,adverb  
monopolistically,독점적으로,adverb  
fiscally,재정적으로,adverb  
monetarily,통화적으로,adverb  
illiquidly,비유동적으로,adverb  
regulatedly,규제되게,adverb  
in the event of bankruptcy,파산 시,phrase  
by virtue of economic policy,경제 정책 덕분에,phrase  
for the sake of market stability,시장 안정을 위해,phrase  
under the pressure of inflation,인플레이션 압력 하에,phrase  
with respect to fiscal balance,재정 균형에 관하여,phrase  
evolve,진화하다,verb  
adapt,적응하다,verb  
mutate,돌연변이하다,verb  
reproduce,번식하다,verb  
photosynthesize,광합성하다,verb  
oxidize,산화하다,verb  
catalyze,촉매작용을 하다,verb  
dissolve,용해하다,verb  
condense,응축하다,verb  
ionize,이온화하다,verb  
genetics,유전학,noun  
ecosystem,생태계,noun  
molecule,분자,noun  
atom,원자,noun  
cell,세포,noun  
enzyme,효소,noun  
catalyst,촉매,noun  
species,종,noun  
evolution,진화,noun  
biodiversity,생물다양성,noun  
genetic,유전학적인,adjective  
ecological,생태학적인,adjective  
molecular,분자의,adjective  
atomic,원자의,adjective  
cellular,세포의,adjective  
catalytic,촉매의,adjective  
mutational,돌연변이의,adjective  
photosynthetic,광합성의,adjective  
ionic,이온의,adjective  
biodiverse,생물다양성의,adjective  
genetically,유전학적으로,adverb  
ecologically,생태학적으로,adverb  
molecularly,분자 단위로,adverb  
atomically,원자 단위로,adverb  
cellularly,세포 단위로,adverb  
contemplate,숙고하다,verb  
rationalize,합리화하다,verb  
symbolize,상징하다,verb  
metaphorize,은유하다,verb  
allegorize,우화로 표현하다,verb  
criticize,비판하다,verb  
satirize,풍자하다,verb  
romanticize,낭만화하다,verb  
historicize,역사화하다,verb  
contextualize,맥락화하다,verb  
metaphor,은유,noun  
allegory,우화,noun  
satire,풍자,noun  
romanticism,낭만주의,noun  
historicism,역사주의,noun  
context,맥락,noun  
narrative,서사,noun  
paradox,역설,noun  
irony,아이러니,noun  
symbolism,상징주의,noun  
contemplative,숙고하는,adjective  
symbolic,상징적인,adjective  
metaphorical,은유적인,adjective  
allegorical,우화적인,adjective  
satirical,풍자적인,adjective  
romantic,낭만적인,adjective  
historical,역사적인,adjective  
contextual,맥락적인,adjective  
paradoxical,역설적인,adjective  
ironic,아이러니한,adjective  
contemplatively,숙고하며,adverb  
symbolically,상징적으로,adverb  
metaphorically,은유적으로,adverb  
allegorically,우화적으로,adverb  
satirically,풍자적으로,adverb  
romantically,낭만적으로,adverb  
historically,역사적으로,adverb  
contextually,맥락적으로,adverb  
paradoxically,역설적으로,adverb  
ironically,아이러니하게,adverb  
in the context of postmodernism,포스트모더니즘 맥락에서,phrase  
by means of symbolic representation,상징적 표현을 통해,phrase  
for the sake of artistic expression,예술적 표현을 위해,phrase  
under the veil of irony,아이러니의 장막 아래,phrase  
with respect to historical accuracy,역사적 정확성에 관하여,phrase  
